,Asset No,NAV_x,NAV_y
2525,470707,537.17,427.33
2526,470708,537.17,427.33
2527,470709,537.17,427.33
2528,470710,537.17,427.33
2529,470711,537.17,427.33
2530,470712,537.17,427.33
2531,470713,537.17,427.33
2532,470714,537.17,427.33
2533,470715,537.17,427.33
2534,470716,537.17,427.33
2535,470717,537.17,427.33
2536,470718,537.17,427.33
2537,470719,537.17,427.33
2538,470720,537.17,427.33
2539,470721,537.17,427.33
2540,470722,537.17,427.33
2541,470723,537.17,427.33
2542,475698,677.04,578.24
2543,475699,677.04,578.24
2544,475700,677.04,578.24
2545,478691,10000.01,8726.04
2546,481691,7147.23,6904.16
2547,481692,339.53,289.99
2548,481693,339.53,289.99
2549,481694,339.53,289.99
2550,481695,339.53,289.99
2552,487691,3545.1,3093.46
2553,487692,1074.45,937.57
2554,487693,40193.75,35073.17
2555,487694,3222.24,2811.74
2556,487695,2307.81,2046.0
2557,487696,1932.41,1713.19
2558,487697,227.15,188.37
2559,487698,227.15,188.37
2560,487699,942.49,822.43
2561,487700,942.49,822.43
2562,487701,942.49,822.43
2563,491691,5250.82,4484.52
2564,491692,2725.58,2327.82
2565,491693,3428.15,3039.23
2567,491695,3284.76,2949.99
2568,491696,2666.69,2394.91
2569,494691,433474.7,322114.92
2570,494692,4911.41,3649.67
2571,494693,2459.99,2209.27
2572,506691,27033.7,24278.49
2573,506692,2789.37,2530.54
2574,506693,2789.37,2530.54
2575,506694,2789.37,2530.54
2576,506695,2789.37,2530.54
2577,506696,1565.18,1419.95
2578,506697,1565.18,1419.95
2579,506698,1565.18,1419.95
2580,506699,1565.18,1419.95
2581,506700,1565.18,1419.95
2582,506701,1565.18,1419.95
2583,506702,1565.18,1419.95
2584,506703,1565.18,1419.95
2585,506704,1565.18,1419.95
2586,506705,1565.18,1419.95
2587,506706,1565.18,1419.95
2588,506707,1565.18,1419.95
2589,506708,1565.18,1419.95
2590,506709,1565.18,1419.95
2591,506710,1565.18,1419.95
2592,506711,1565.18,1419.95
2593,506712,1565.18,1419.95
2594,506713,1565.18,1419.95
2595,506714,1565.18,1419.95
2596,506715,1565.18,1419.95
2597,506716,1565.18,1419.95
2598,506717,1565.18,1419.95
2599,506718,1565.18,1419.95
2600,506719,1565.18,1419.95
2601,506720,1565.18,1419.95
2602,506721,1565.18,1419.95
2603,506722,1565.18,1419.95
2604,506723,36889.03,33466.06
2605,510691,1323415.88,1226656.7
2606,513691,911.54,826.96
2607,513692,911.54,826.96
2608,513693,911.54,826.96
2609,513694,911.54,826.96
2610,513695,911.54,826.96
2611,513696,911.54,826.96
2612,513697,1078.53,956.17
2613,513698,1142.31,1012.72
2614,514692,105890.58,84235.31
2615,519721,4410.0,4285.15
2616,519722,12119.23,11089.92
2617,520691,3849.97,3522.98
2618,534691,3471.81,3200.03
2619,534692,9491.95,8748.9
2620,534693,30171.93,27809.98
2621,534694,22080.0,20204.71
2622,534695,27058.7,24760.57
